question,expected,actual_1,actual_2,actual_3,verdict
What buff does Farmer's Lunch provide?,Farmer's Lunch provides a Farming buff of +3.,Farmer's Lunch provides a Farming buff and lasts for 5 minutes and 35 seconds.,"Farmer's Lunch provides a Farming buff for 5 minutes and 35 seconds, increasing your farming skill temporarily.",Farmer's Lunch provides a farming buff for 5 minutes and 35 seconds.,FAIL
Who loves Farmer's Lunch as a gift?,Marnie loves Farmer's Lunch as a gift.,Only Marnie loves receiving Farmer's Lunch as a gift.,"Nobody specifically loves Farmer's Lunch as a gift. Several characters like it, though, including most villagers such as Abigail, Alex, Caroline, Jodi, and more. Let me know if you need all those names listed.",No one loves Farmer's Lunch as a gift. Most villagers either like it or have other reactions.,FAIL
Where can the Heater be purchased in Stardew Valley?,The Heater can be purchased from Marnie's Ranch.,"The Heater can be purchased from Marnie's Ranch for 2,000g. Additionally, you can receive one as a reward for completing the Fodder Bundle on the Bulletin Board. Let me know if you need help with anything else!","The Heater can be purchased from Marnie's Ranch for 2,000g. It is also obtained as a reward for completing the Fodder Bundle on the Bulletin Board.","The Heater can be purchased from Marnie's Ranch for 2,000g. Additionally, you can earn one as a reward for completing the Fodder Bundle on the Bulletin Board.",PASS
What is the cost of the Heater in Stardew Valley?,"The Heater costs 2,000 gold.","The Heater costs 2,000g and can be purchased from Marnie's Ranch. Additionally, one Heater can be obtained as a reward for completing the Fodder Bundle on the Bulletin Board.","The Heater costs 2,000g and can be purchased from Marnie's Ranch.","The Heater costs 2,000g and can be purchased from Marnie's Ranch. It's also a reward for completing the Fodder Bundle on the Bulletin Board.",FAIL
Where can the Orange Office Stool be purchased for 350g?,The Orange Office Stool can be purchased from the Carpenter's Shop for 350g.,"The Orange Office Stool can be purchased for 350g at the Carpenter's Shop when it appears in their rotating stock. It may also be available at the Traveling Cart for 250–2,500g.","The Orange Office Stool can be purchased for 350g at the Carpenter's Shop when it rotates into the daily stock. It is also available at the Traveling Cart for 250–2,500g or through the Furniture Catalogue for free if unlocked.","The Orange Office Stool can be purchased for 350g at the Carpenter's Shop, where it may appear in the daily rotating stock.",PASS
Is it possible to place the Orange Office Stool outside in Stardew Valley?,"Yes, with the 1.5 update, chairs like the Orange Office Stool can be placed outside.","Yes, starting with update 1.5, the Orange Office Stool, like other chairs and stools, can be placed outside.","Yes, as of version 1.5, it is possible to place the Orange Office Stool outside.","Yes, you can place the Orange Office Stool outside, as the ability to place chairs outdoors was added in version 1.5 of the game.",PASS
What is required to unlock the six Wizard buildings for The Farm?,Recovering the Magic Ink from the Witch's Hut and bringing it back to the Wizard unlocks the six Wizard buildings for The Farm.,"To unlock all six Wizard buildings, you'll need to:

1. Retrieve the Wizard's Magic Ink from the Witch's Hut.
2. Access the magic book inside the Wizard's Tower to purchase buildings.

Requirements include gold, specific materials (like Iridium Bars and other resources), and completing Ginger Island for the Island Obelisk. Building prices range from 20,000g for Junimo Huts to 10,000,000g for the Gold Clock.","To unlock the Wizard’s six unique farm buildings, you'll first need to retrieve his Magic Ink from the Witch's Hut. This allows you to use the magic book in the Wizard's Tower to access and purchase the buildings. Each structure has specific costs in gold and materials:

- 4 Obelisks: for transport to mountains, beach, desert, and Ginger Island.
- Junimo Hut: for auto-harvesting crops.
- Gold Clock: prevents debris and fence decay.

Building each demands substantial resources.","To unlock the six Wizard buildings for your farm, you need to retrieve the Wizard’s Magic Ink. This is done by completing the ""Dark Talisman"" and ""Goblin Problem"" quests that give access to the Witch's Hut. Once you retrieve the Magic Ink, the Wizard will offer buildings like Obelisks, Junimo Huts, and the Gold Clock in his tower for a high fee.",FAIL
How can a player unlock the way to the Witch's Hut in the questline?,The player must complete the Dark Talisman questline and then provide Void Mayonnaise to the Witch's Henchman to access the Witch's Hut.,"To access the Witch's Hut, complete the ""Dark Talisman"" quest by retrieving the talisman from the Mutant Bug Lair (via Krobus in the Sewers). Use it at the Railroad cave to reach the Witch's Swamp. Then, in the ""Goblin Problem"" quest, give Void Mayonnaise to the Henchman guarding the hut. Once inside, recover the Magic Ink and return it to the Wizard to unlock magic farm buildings.","To unlock the Witch's Hut, you must complete two quests:

1. **Dark Talisman**: Trigger a cutscene at the Railroad after finishing the Community Center or Joja tasks. Speak to Krobus in the Sewers to access the Mutant Bug Lair, retrieve the Dark Talisman, and use it to remove the artifact blocking the cave.

2. **Goblin Problem**: In the Witch's Swamp, bribe the henchman with Void Mayonnaise to access the hut. Retrieve the Wizard's Magic Ink to complete the questline.","To unlock the Witch's Hut, you must complete two main quests:

1. **Dark Talisman**: After finishing the Community Center or Joja tasks, visit the Railroad to trigger a cutscene with the Wizard. He'll ask you to find a Dark Talisman, which is in a chest in the Mutant Bug Lair. Access it via Krobus in the Sewers.

2. **Goblin Problem**: Bring Void Mayonnaise to the Henchman guarding the hut in the Witch's Swamp. Then retrieve the Wizard's Magic Ink.",PASS
What is the crafting ingredient required for a Wood Sign?,25 Wood is required to craft a Wood Sign.,The crafting ingredient required for a Wood Sign is 25 Wood.,"To craft a Wood Sign, you need 25 pieces of Wood.",The crafting ingredient required for a Wood Sign is 25 pieces of wood.,PASS
Can a Wood Sign be sold in Stardew Valley?,A Wood Sign cannot be sold.,"No, a Wood Sign cannot be sold.","No, a Wood Sign cannot be sold.","No, a Wood Sign cannot be sold. It is a craftable item primarily used for decoration or displaying images.",PASS
Where can you purchase a Movie Ticket in Stardew Valley?,"A Movie Ticket can be purchased for 1,000g from the ticket booth outside the Movie Theater.","You can purchase a Movie Ticket for 1,000g at the ticket booth outside the Movie Theater. Additionally, it can sometimes be found in the JojaMart Garbage Can or won in the Crane Game inside the Movie Theater.","You can purchase a Movie Ticket for 1,000g from the ticket booth outside the Movie Theater once it has been built.","You can purchase a Movie Ticket for 1,000g from the ticket booth outside the Movie Theater. It becomes available after unlocking the Movie Theater through completing either the Community Center or Joja Community Upgrades. You can also occasionally find Movie Tickets in the JojaMart trash can or win them in the Crane Game inside the theater.",PASS
What happens if you give a Movie Ticket to an NPC?,Giving a Movie Ticket to an NPC invites them to attend the Movie Theater with the player.,"When you give a Movie Ticket to an NPC, it invites them to watch a movie with you at the theater that day. If you enter the theater on the same day, you can watch the movie together and potentially increase friendship points depending on whether the NPC enjoys the movie. If not used the same day, the ticket is forgotten.","If you give a movie ticket to an NPC, they’ll join you for a movie at the theater on the same day. Watching a loved movie with them gains 200 friendship points, a liked movie adds 100 points, and a disliked movie has no effect. Be sure the theater is open and gift the ticket on the day you plan to watch the movie to ensure they attend.","If you give a Movie Ticket to an NPC, it invites them to watch a movie with you at the Movie Theater. To watch the movie together, you must enter the theater on the same day you gift the ticket; otherwise, the invitation is forgotten. While watching, you can also buy them snacks from the concession stand, which may affect their friendship level depending on their likes or dislikes.",FAIL
What is the price of the Small Junimo Pot in Stardew Valley?,The price of the Small Junimo Pot is 0g.,The Small Junimo Pot cannot be sold and does not have a sell price. Let me know if you need more details!,The Small Junimo Pot cannot be purchased or sold; it is available as a piece of furniture from the Junimo Catalogue.,The Small Junimo Pot cannot be purchased—it's furniture available from the Junimo Catalogue and isn't sold directly.,FAIL
What is the source of the Small Junimo Pot in Stardew Valley?,The source of the Small Junimo Pot is the Junimo Catalogue.,The Small Junimo Pot is a piece of furniture obtained from the Junimo Catalogue.,"The Small Junimo Pot can be obtained from the Junimo Catalogue, which is tied to decorative furniture and items.",The Small Junimo Pot is a piece of furniture available from the Junimo Catalogue. Let me know if you need details about obtaining or using it.,PASS
"Where can the Blue Couch be purchased for 1,750g?","The Blue Couch can be purchased from the Carpenter's Shop for 1,750g.","The Blue Couch can be purchased for 1,750g at the Carpenter's Shop when it appears in their rotating daily stock.","The Blue Couch can be purchased for 1,750g at the Carpenter's Shop when it cycles into their rotating stock.","The Blue Couch can be purchased for 1,750g when it rotates into the daily stock at the Carpenter's Shop. It can also sometimes be found at the Traveling Cart for a variable price or acquired for free from the Furniture Catalogue.",PASS
Can the Blue Couch be placed outdoors?,The Blue Couch cannot be placed outdoors.,"The Blue Couch, like most couches, cannot be placed outdoors. Only the Moldy Couch is specifically allowed outside. Let me know if you need more details!","The Blue Couch cannot be placed outdoors. Only specific furniture, such as the Moldy Couch, is allowed for outdoor placement.",The Blue Couch cannot be placed outdoors. Only the Moldy Couch is an exception for outdoor placement among couches.,PASS
Where can the Desert Fireplace be purchased?,The Desert Fireplace can be purchased at the Desert Festival from the Calico Egg Merchant.,The Desert Fireplace can be purchased at the Desert Festival from the Calico Egg Merchant on Spring 17 for 20 Calico Eggs.,The Desert Fireplace can be purchased from the Calico Egg Merchant at the Desert Festival on Spring 17 for 20 Calico Eggs.,The Desert Fireplace can be purchased at the Desert Festival on Spring 17. It costs 20 Calico Eggs and is available from the Calico Egg Merchant.,PASS
Can the Desert Fireplace be placed outdoors?,The Desert Fireplace cannot be placed outdoors.,"The Desert Fireplace, like all fireplaces, cannot be placed outdoors. It can only be placed indoors, and you can toggle its fire on or off by right-clicking once it's placed.","The Desert Fireplace, like all fireplaces, cannot be placed outdoors. It can only be placed indoors, and right-clicking it will turn the fire on or off.","No, the Desert Fireplace cannot be placed outdoors. It is designed to be placed indoors only.",PASS
What is the Dinosaur Egg classified as in Stardew Valley?,The Dinosaur Egg is classified as both an artifact and an animal product.,The Dinosaur Egg is classified as both an artifact and an animal product.,"The Dinosaur Egg is classified as both an artifact and an animal product. Initially, it can be found as an artifact and later used to hatch dinosaurs that lay more eggs.",The Dinosaur Egg is classified as both an artifact and an animal product.,PASS
Where can a Dinosaur Egg initially be found?,"A Dinosaur Egg can initially be found by digging up an Artifact Spot in The Mountains, in Fishing Treasure Chests, from a Pepper Rex, on Prehistoric Floors in the Skull Cavern, or won in the Crane Game in the Movie Theater.","A Dinosaur Egg can initially be found by digging up artifact spots in the Mountains or Quarry, fishing in treasure chests (after reaching Fishing Level 2 and having found at least one artifact), defeating Pepper Rex, foraging on Prehistoric Floors in the Skull Cavern, or winning it in the Movie Theater's Crane Game.","A Dinosaur Egg can initially be found by digging up an Artifact Spot in the Mountains or Quarry, fishing Treasure Chests (after reaching Fishing Level 2 and finding at least one artifact), defeating a Pepper Rex, foraging on Prehistoric Floors in Skull Cavern, or winning it in the Crane Game at the Movie Theater.","A Dinosaur Egg can initially be found by digging up an Artifact Spot in The Mountains or Quarry, fishing in Treasure Chests (after reaching Fishing Level 2 and finding at least one artifact before), defeating Pepper Rex dinosaurs, foraging on Prehistoric Floors in the Skull Cavern, or winning it in the Crane Game at the Movie Theater.",PASS
Where can the Coat Stand be purchased in Stardew Valley?,"The Coat Stand can be purchased at the Oasis for 2,000g.","The Coat Stand can be purchased at the Oasis for 2,000g.","The Coat Stand can be purchased at the Oasis for 2,000g.","The Coat Stand can be purchased at the Oasis for 2,000g.",PASS
Is the Coat Stand in Stardew Valley sellable?,The Coat Stand cannot be sold.,"The Coat Stand cannot be sold. It is a decorative furniture item that can be purchased from the Oasis for 2,000g.",The Coat Stand cannot be sold.,"The Coat Stand cannot be sold. It is a decorative furniture item purchased at the Oasis for 2,000g.",PASS
What season can Crystal Fruit be foraged in?,Crystal Fruit can be foraged in Winter.,Crystal Fruit can be foraged during Winter. It can also be found by killing Dust Sprites in the Mines or by growing Winter Seeds.,Crystal Fruit can be foraged during Winter.,Crystal Fruit can be foraged during Winter.,PASS
Which crafting bundle in the Crafts Room requires the Crystal Fruit?,The Winter Foraging Bundle in the Crafts Room requires the Crystal Fruit.,The Crystal Fruit is needed for the Winter Foraging Bundle in the Crafts Room.,The Crystal Fruit is required for the Winter Foraging Bundle in the Crafts Room.,The Crystal Fruit is required for the Winter Foraging Bundle in the Crafts Room.,PASS
What does pressing the Tab key do in Stardew Valley on keyboard?,The Tab key shifts the toolbar.,Pressing the Tab key on the keyboard cycles through or shifts the toolbars available in your inventory.,"Pressing the Tab key on the keyboard shifts the toolbar, allowing you to cycle through different toolbar rows in your inventory.",Pressing the Tab key shifts the toolbar in your inventory to display the next set of items. This is useful when you have more tools or items than the number that can display at once on your toolbar.,PASS
How can you open the Emote menu on PC in Stardew Valley?,You can open the Emote menu by pressing the Y key.,"To open the Emote menu on a PC, press the ""Y"" key. You can also customize this keybinding in the options menu if needed.","To open the Emote menu on PC, press the default key **Y**. You can reassign this key in the options menu if desired.","You can open the Emote menu on PC by pressing the default key ""Y"". Let me know if you'd like to know more about customizing controls!",PASS
What happens after all bundles are completed in Stardew Valley?,"After all bundles are completed, the Community Center is restored to its original condition and the 'Local Legend' Steam achievement is unlocked.","After completing all bundles, the Community Center is fully restored, and a cutscene shows its grand reopening. This unlocks the ""Local Legend"" achievement. If you visit Pelican Town on a sunny day (without a festival), you'll see a ceremony where Mayor Lewis awards you the Stardew Hero trophy. The Junimos return to the forest after repairing the center.","Once all bundles are completed, the Community Center is fully restored. That night, a cutscene will show the grand reopening, and the town praises your success. The next sunny day, a ceremony takes place in Pelican Town Square, where Mayor Lewis awards you the Stardew Hero trophy. The Junimos then leave the center, returning to the forest. If you chose the JojaMart route instead, bundles are replaced with a purchasable development form.","After completing all bundles, the Community Center is fully restored, and a cutscene shows the Junimos repairing it. The following day, Pelican Town celebrates the grand reopening in a sunny-day event. Mayor Lewis gives you the ""Stardew Hero"" award and a trophy. The Junimos then leave, returning to the forest.",FAIL
What does completing the crafts room bundles unlock?,"Completing the Crafts Room bundles repairs the bridge east of The Mines, unlocking the Quarry.","Completing all Crafts Room bundles repairs the bridge east of the Mines, granting access to the Quarry. This new area contains rocks, ores, and other resources to gather.","Completing all the Crafts Room bundles repairs the bridge east of the Mines, unlocking access to the Quarry.","Completing the crafts room bundles repairs the bridge east of the mines, unlocking access to the quarry.",PASS
What are the ingredients for Tom Kha Soup?,"The ingredients for Tom Kha Soup are one Coconut, one Shrimp, and one Common Mushroom.","The ingredients for Tom Kha Soup are Coconut, Shrimp, and Common Mushroom.","The ingredients for Tom Kha Soup are Coconut, Shrimp, and Common Mushroom.","The ingredients for Tom Kha Soup are Coconut, Shrimp, and Common Mushroom.",PASS
What buff does eating Tom Kha Soup provide?,Eating Tom Kha Soup provides Farming +2 and Max Energy +30 for 7 minutes.,Eating Tom Kha Soup provides buffs to Farming and Maximum Energy for 7 minutes.,Eating Tom Kha Soup grants buffs to Farming and Maximum Energy. The buffs last for 7 in-game minutes.,"Eating Tom Kha Soup provides buffs to Farming and Max Energy, lasting for 7 minutes.",PASS
Where does the Golden Chicken live in Stardew Valley?,The Golden Chicken lives in a Big Coop.,The Golden Chicken lives in a Big Coop or Deluxe Coop. You can hatch it by incubating a Golden Egg in one of those coops.,The Golden Chicken lives in a Big Coop. You can hatch one by placing a Golden Egg in an Incubator inside the Big Coop.,The Golden Chicken lives in a Big Coop or Deluxe Coop. You can hatch one by placing a Golden Egg in an incubator inside the coop.,PASS
What does a mature and fed golden chicken produce daily?,A mature and fed Golden Chicken produces a Golden Egg daily.,"A mature and fed golden chicken produces one golden egg daily. This egg can be sold for 500g or used in recipes and crafting, such as making three gold-quality mayonnaise.","A mature and fed golden chicken produces a golden egg every day. This egg can be sold, placed in an incubator to hatch another golden chicken, or used to make gold-quality mayonnaise.",A mature and fed golden chicken produces a golden egg daily. Golden eggs can be sold for 500g (standard quality) or used in the incubator to hatch another golden chicken.,PASS
What is the price of a Sonar Bobber at Willy's Fish Shop?,The Sonar Bobber can be purchased from Willy's Fish Shop for 500g after reaching Fishing level 6.,"The Sonar Bobber can be purchased at Willy's Fish Shop for 500g, available after you reach Fishing Level 6.",The Sonar Bobber is sold at Willy's Fish Shop for 250g.,The Sonar Bobber is available at Willy's Fish Shop for 500g after reaching Fishing Level 6.,PASS
What is required to craft a Sonar Bobber?,The Sonar Bobber requires 1 Iron Bar and 2 Refined Quartz to craft.,"To craft a Sonar Bobber, you'll need the following ingredients:

- 1 Iron Bar
- 1 Refined Quartz

The recipe becomes available after reaching Fishing Level 6.","To craft a Sonar Bobber, you need 1 Iron Bar and 1 Refined Quartz.","To craft a Sonar Bobber, you'll need the following ingredients:

- 1 Iron Bar
- 1 Refined Quartz",FAIL
How many days does it take for a Fairy Rose to grow from seeds?,It takes 12 days for a Fairy Rose to grow from seeds.,Fairy Roses take 12 days to grow from Fairy Seeds.,A Fairy Rose takes 12 days to grow from seeds.,It takes 12 days for a Fairy Rose to grow from seeds.,PASS
Which flower affects the honey base value when grown near a Bee House?,The Fairy Rose affects the honey base value when grown near a Bee House.,"A fully-grown flower within 5 tiles of a Bee House affects the honey's value by producing ""flower honey."" The type of flower determines the specific honey value. Among flowers, a Fairy Rose produces the most valuable honey, increasing its base sell price from 100g (Wild Honey) to 680g.","Flowers within 5 tiles of a Bee House affect honey's base value by producing flower-specific honey. Fully grown flowers like Tulips, Blue Jazz, Sunflowers, Fairy Roses, and Poppies increase honey value. Foraged items, like Crocus or Sweet Pea, and others such as Dandelion or Daffodil, don’t affect honey. The nearest flower determines honey type, and multiple Bee Houses can benefit from one flower.","Fully-grown flowers within 5 tiles of a Bee House determine the honey's type and base value. Among them, the Fairy Rose provides the most valuable honey, increasing its base value to 680g. Multiple Bee Houses can use the same flower for honey production.",FAIL
What is the crafting recipe for a Text Sign in Stardew Valley?,The crafting recipe for a Text Sign requires 25 Wood.,"The crafting recipe for a Text Sign requires 25 Wood. The recipe is available by default, and it allows you to write a custom message on the sign.","To craft a Text Sign, you need 25 Wood. The recipe is available from the start as a default crafting option.","To craft a Text Sign, you need 25 pieces of Wood. The recipe is available by default when you start.",PASS
What happens if Pam leaves a Text Sign at the Bus Stop and the player takes it?,"If the player takes the Text Sign that Pam leaves at the Bus Stop, they can keep it.","If Pam leaves a Text Sign at the Bus Stop and the player takes it, they can keep it for their own use. The sign typically contains a message explaining her absence and notifying the player they can drive the bus themselves that day. If the player doesn't take it, Pam removes the sign the next day.","If a text sign is left by Pam at the Bus Stop and the player takes it, the sign can be kept permanently since it’s treated as any craftable decoration. The text on it will remain until changed by the player. Normally, Pam removes the sign the following day, so retrieving it is an opportunity to keep a unique in-game item.","If Pam leaves a Text Sign at the Bus Stop (which happens when she's unavailable to drive the bus), and the player takes it, the sign will be removed permanently. Pam will not replace it since she only sets it down for specific unavailable days. This essentially gives the player a free Text Sign to reuse anywhere.",PASS
What is the selling price of Pale Broth in Stardew Valley?,The selling price of Pale Broth is 150g.,"The selling price of Pale Broth is 150g. If made with Qi Seasoning, its value increases to 225g.",I could not find the specific selling price of Pale Broth. Would you like me to refine the search or check its crafting recipe?,"Pale Broth sells for 150g. If made with Qi Seasoning, the selling price increases to 225g.",PASS
How can the recipe for Pale Broth be obtained in Stardew Valley?,The recipe for Pale Broth can be obtained from Marnie by mail when you have 3 or more hearts with her.,The recipe for Pale Broth is sent by Marnie through the mail once you reach at least 3 hearts in friendship with her.,The recipe for Pale Broth is sent to you by Marnie in the mail after you achieve at least 3 hearts of friendship with her.,The recipe for Pale Broth is sent by Marnie through the mail once you have at least 3 hearts of friendship with her. It requires White Algae as the ingredient.,PASS
What effect does the Oil of Garlic Buff have in Skull Cavern?,"In Skull Cavern, the Oil of Garlic Buff prevents floors from being infested and swarms of monsters from appearing.","The Oil of Garlic Buff in Skull Cavern prevents monster swarms and stops floors from being infested. However, it does not affect Prehistoric Floors, and it won't work in Dangerous Skull Cavern.","When consumed, the Oil of Garlic buff in Skull Cavern prevents floors from becoming infested and stops monster swarms, except for Prehistoric Floors. However, it has no effect in Dangerous Skull Caverns.","The Oil of Garlic Buff prevents floors in Skull Cavern from becoming infested and also blocks swarms of monsters on any level. However, it does not stop Prehistoric Floors or have any effect in Dangerous Skull Cavern.",PASS
At what Combat level can you learn the recipe for Oil of Garlic?,The recipe for Oil of Garlic is earned at Combat skill level 6.,You can learn the recipe for Oil of Garlic at Combat level 6.,You can learn the recipe for Oil of Garlic when you reach Combat level 6.,You can learn the recipe for Oil of Garlic at Combat level 6.,PASS
Where can the Junimo End Table be obtained?,The Junimo End Table can be obtained from the Junimo Catalogue.,The Junimo End Table can be obtained from the Junimo Catalogue for 0g. Let me know if you need help with anything else!,The Junimo End Table can be purchased from the Junimo Catalogue for 0g.,The Junimo End Table can be obtained from the Junimo Catalogue for free (0g).,PASS
Is the Junimo End Table sellable in Stardew Valley?,"No, the Junimo End Table cannot be sold.",The Junimo End Table cannot be sold.,The Junimo End Table cannot be sold.,"No, the Junimo End Table cannot be sold.",PASS
What does the Golden Animal Cracker do when used on a farm animal?,The Golden Animal Cracker permanently doubles the produce yield of the farm animal it is used on.,"When used on a non-pig farm animal, the Golden Animal Cracker doubles its product output according to its regular schedule. Baby animals can also receive it and will produce double once mature. Pigs cannot benefit from this item. An icon appears on the animal’s info screen after using the cracker, and it can't be used on the same animal or fish pond more than once.","When used on a farm animal (except pigs), the Golden Animal Cracker doubles the animal's product output based on its normal schedule. If given to a baby animal, the effect begins when it matures. A music note icon appears as confirmation, and an indicator is added to the animal's information screen. It can't be reused on the same animal and has no effect on pigs.","Giving a Golden Animal Cracker to a farm animal (except pigs) will double its normal output on its usual schedule. Baby animals can also receive it, and they'll produce double output upon maturing. Pigs cannot receive it, and using it on one results in a ""?"". A music note icon will appear when successfully given, and it can’t be reused on the same animal or transferred after selling.",FAIL
What happens if a player tries to use a Golden Animal Cracker on a pig?,"Attempting to give a Golden Animal Cracker to a pig will result in a ""?"" appearing above the pig.","Pigs cannot receive a Golden Animal Cracker. If you attempt to give one to a pig, a ""?"" icon will appear above the pig, indicating that the action cannot be performed.","If you try to use a Golden Animal Cracker on a pig, a ""?"" symbol will appear above the pig, indicating it cannot be used on them. The item is effective only for other animals or fish ponds.","If you try to use a Golden Animal Cracker on a pig, the pig will not accept it. Instead, a ""?"" icon will appear above the pig, indicating that it can't use the cracker.",PASS
What is the purpose of the Cash Register item in Stardew Valley?,The Cash Register is a decorative furniture item.,The information isn't clear about the exact purpose or function of the Cash Register. Could you explain how you encountered or plan to use it? It might help clarify.,"The ""Cash Register"" is a newly introduced item (as of version 1.6). However, its purpose or mechanics are not detailed in the available information. Do you need help finding more specific details or looking into its use further?","The Cash Register is a decorative furniture item. It can be purchased from the Joja Furniture Catalogue, but it does not have any functional use beyond decoration.",FAIL
How can the Cash Register be obtained in Stardew Valley?,The Cash Register is available from the Joja Furniture Catalogue.,The Cash Register is a decorative furniture item available for purchase from the Joja Furniture Catalogue.,"The Cash Register itself isn't an item that can be obtained or purchased. Instead, it functions automatically in various shops like Gus's Saloon, where you interact with it to purchase items when the shopkeeper is present. It is not an obtainable item for your farm or inventory.",The Cash Register is a decorative furniture item that can be purchased from the Joja Furniture Catalogue.,PASS
How long does it take for an Orange Sapling to grow into an Orange Tree?,It takes 28 days for an Orange Sapling to grow into an Orange Tree.,An Orange Sapling takes 28 days to grow into a fully mature Orange Tree.,"An Orange Sapling takes 28 days to grow into a fully grown Orange Tree. After it matures, it produces one orange per day during the summer or year-round if planted in the greenhouse.","An Orange Sapling takes 28 days to grow into a fully mature Orange Tree. Once grown, it produces one orange per day during the summer. If planted in the greenhouse, it will produce fruit year-round.",PASS
When can Oranges be harvested from an Orange Tree?,Oranges can be harvested during the Summer from an Orange Tree.,"Oranges can be harvested from an Orange Tree each day during the summer once the tree has fully grown. It takes an Orange Sapling 28 days to mature into a tree. If planted in a greenhouse, the tree produces fruit year-round.","Oranges can be harvested from an Orange Tree during the summer season. Once the tree matures after 28 days, it will produce one orange daily throughout the summer. If planted in a greenhouse, it can produce fruit year-round.","Oranges can be harvested from an Orange Tree daily during the Summer, after it has fully matured. The tree requires 28 days to grow from an Orange Sapling. Alternatively, if planted in the Greenhouse, it will produce fruit year-round.",PASS
What is the growth time for Pumpkin in Stardew Valley?,The growth time for Pumpkin is 13 days.,Pumpkins take 13 days to grow from Pumpkin Seeds in the fall season.,Pumpkins take 13 days to grow from Pumpkin Seeds.,Pumpkins take 13 days to grow from Pumpkin Seeds.,PASS
Which bundle in the Pantry uses Pumpkin as one of its required items in Stardew Valley?,Pumpkin is used in the Fall Crops Bundle in the Pantry.,"Pumpkin is required in the Fall Crops Bundle in the Pantry. Additionally, five gold-quality Pumpkins can be used for the Quality Crops Bundle in the Pantry.",The Pumpkin is required for two bundles in the Pantry: the Fall Crops Bundle and the Quality Crops Bundle (requiring five gold-quality Pumpkins as one of the options).,The Pumpkin is required in the Fall Crops Bundle and as one of the options for the Quality Crops Bundle in the Pantry.,PASS
When is Jas's birthday in Stardew Valley?,Jas's birthday is on Summer 4.,Jas's birthday is on Summer 4.,Jas's birthday is on Summer 4.,Jas's birthday is on Summer 4.,PASS
Where does Jas live in Stardew Valley?,Jas lives in Cindersap Forest at Marnie's Ranch.,"Jas lives at Marnie's Ranch in Cindersap Forest, just outside Pelican Town. She resides there with her aunt Marnie and her godfather Shane.","Jas lives at Marnie's Ranch in Cindersap Forest, just outside Pelican Town, with her aunt Marnie and her godfather Shane.","Jas lives in Cindersap Forest at Marnie's Ranch, along with her aunt Marnie and godfather Shane.",PASS
What is the sell price of Alamite?,The sell price of Alamite is 150g.,"Alamite sells for 150g normally. If you have the Gemologist Profession, the sell price increases to 195g.","The sell price of Alamite is 150g. If you have the Gemologist profession, its sell price increases to 195g.","The sell price of Alamite is 150g. If you have the Gemologist profession, the sell price increases to 195g.",PASS
Where can Alamite be found?,Alamite can be found in the Geode and the Omni Geode.,"Alamite can be found by breaking open Geodes and Omni Geodes. If you're looking for it, head to places where Geodes can commonly be found, like the Mines, and take them to the Blacksmith to open.",Alamite can be found in Geodes and Omni Geodes. You can crack these open at the Blacksmith to obtain the mineral.,Alamite can be found inside Geodes and Omni Geodes. You can process these geodes at the Blacksmith to potentially obtain it.,PASS
Where can Floor Dividers be purchased?,Floor Dividers can be purchased from the Furniture Catalogue.,Floor Dividers can be purchased from the Furniture Catalogue inside your farmhouse.,Floor Dividers can be purchased from the Furniture Catalogue. They are decorative items used indoors and are not available from the Traveling Cart.,Floor Dividers can be purchased from the Furniture Catalogue for free if you have access to the catalogue. They are purely decorative and cannot be placed outside.,PASS
How many variants of Floor Dividers are there?,There are 16 variants of Floor Dividers in total.,"There are 16 total variants of Floor Dividers, divided equally between 8 left-side and 8 right-side designs.","There are 16 variants of Floor Dividers in total, with 8 for the left side and 8 for the right side.",There are 16 variants of Floor Dividers in total—8 for the left side and 8 for the right side. They are purely decorative and available from the Furniture Catalogue.,PASS
How can the Night Sky Decal #1 be obtained?,The Night Sky Decal #1 can be obtained by finishing Penny's 14-heart event and choosing the Forest and Moon: Peaceful Blue option or buying it from her during the Desert Festival for 30 Calico Eggs.,"The Night Sky Decal #1 can be obtained in two ways: by completing Penny's 14-heart event and selecting the ""Forest and Moon: Peaceful Blue"" option, or by purchasing it from her during the Desert Festival for 30 Calico Eggs.","Night Sky Decal #1 can be obtained by completing Penny's 14-heart event (choosing the ""Forest and Moon: Peaceful Blue"" option) or purchasing it from her during the Desert Festival for 30 Calico Eggs.",The method to obtain the Night Sky Decal #1 isn't clear from the information I found. Could you clarify where you encountered it or specific context about this item? ,PASS
Can the Night Sky Decal #1 be placed outdoors?,"No, the Night Sky Decal #1 cannot be placed outdoors.",The Night Sky Decal #1 is a wall decoration and can only be placed indoors on a wall.,"No, the Night Sky Decal #1 is a wall-mounted decorative item and can only be placed indoors, as it requires a wall for placement.",The Night Sky Decal #1 is a wall-hanging decorative item and cannot be placed outdoors. Wall decals are typically restricted to indoor placement.,PASS
Where can the Elixir Bundle be obtained?,The Elixir Bundle can be obtained from the Wizard Catalogue.,The Elixir Bundle is a piece of furniture that can be obtained from the Wizard's Catalogue for free.,The Elixir Bundle can be obtained from the Wizard's Catalogue. Let me know if you'd like more details about it!,The Elixir Bundle is a piece of furniture that can be obtained from the Wizard's Catalogue. It costs 0g in-game currency.,PASS
